Title of the initiative;Brief description;Leading UN agency;Blockchain usage and application;Who built the solution;Token used;Access and participation model;Reason for private/hybrid blockchain;Is project open-source?;Primary SDGs addressed;SDG indicators and targets;"Beneficiaries; Number affected/involved";Blockchain success metrics;Key challenges in implementation and key barriers to adoption;Lessons learned;Scalability Potential;Impact assessment with KPIs;Geographical scope;Project lifecycle information;Project type;Funding amount;Funding sources and budget;Partnership models;Governance framework: policies or frameworks guiding project implementation;Legal considerations;Documentation and reports;Project's website and social media;Start date;End date;Status;Ethereum mainnet or Layer-2 (specify);If not Mainnet or L2s
Blockchain as a Decentralizing Technology Platform to Accelerate Climate Action;"R&D programme designing permissioned-DLT meta-registries for Article 6 carbon markets; provides architecture & simulations for the World Bank Climate Warehouse / Climate Action Data Trust (CAD Trust) to prevent double counting of carbon units. ";"(UNEP-CCC) 
United Nations Environment Programme – Copenhagen Climate Centre ";"Climate action; Governance (carbon-market infrastructure)";;;"Federated validator nodes run by national registries & standards bodies; public read access to metadata.";;;SDG 13, SDG 12;13.2.1, 12.b.1;20+ national registries & 10+ private standards connected in three simulations (2019-2022);"• Three full-scale simulations completed; ■ 16 registry nodes & 20 observer nodes in Phase II; ■ Operational launch Oct 2022.";"Inter-registry interoperability; governance model for decentralised validators.";"Open-source, low-energy chains (e.g., Chia) can meet integrity needs while minimising footprint; country co-design is critical.";"High – CAD Trust now operated by an independent Singapore entity; onboarding of further registries under way.";;Global (nodes in Bhutan, Chile, Japan, Senegal, UK, etc.).;"Prototype 2019; simulations 2019-2022; operational roll-out 2023-ongoing.";;;"UNEP-CCC; World Bank Climate Warehouse donors.";UN-multilateral partnership with MDBs, governments & NGOs.;"CAD Trust Council (govts + registries) + Technical Committee; GDPR-compliant data-model.";"Paris Agreement Article 6 guidance; EU GDPR for personal data.";IETA press release (Oct 2022), Simulation III report (WB), UNEP-CCC policy brief “Carbon Market Challenges & Blockchain”.;https://unepccc.org/project/blockchain-as-a-decentralizing-technology-platform-to-accelerate-climate-action/;2019 (prototype);2020;Finished;;
Blockchain Livestock Traceability Pilot in Papua New Guinea;This pilot project aimed to enhance transparency and trust in the pig farming sector by implementing a blockchain-based system to track and record critical information about livestock, including pedigree, feeding, health, and treatment history. The initiative sought to empower farmers and provide consumers with verifiable data on livestock products.;FAO;Supply Chain Management, Digital Identity, Governance;;;Permissioned;;;SDG 2, SDG 12;2.3.1, 12.3.1;"Pig farmers in Jiwaka Province, Papua New Guinea; consumers seeking trustworthy livestock products";"Implementation of the blockchain system; number of farmers adopting the system; improvement in market access for pig farmers";"Technical literacy among farmers; infrastructure limitations; ensuring data accuracy and integrity";"Importance of stakeholder engagement and training; need for supportive infrastructure and policies";"High; potential for replication in other regions and extension to other livestock sectors";"Increase in farmer incomes; reduction in livestock-related fraud; enhanced consumer trust";Jiwaka Province, Papua New Guinea;Pilot phase initiated in March 2019;;;FAO, ITU, and national partners;Public-private;Aligned with national e-agriculture strategies and policies;Compliance with national regulations on data management and agriculture;https://openknowledge.fao.org/server/api/core/bitstreams/66ce8120-ed1b-4469-a4ca-08529d3b0774/content?utm_source;https://www.fao.org/e-agriculture/news/pig-farmers-papua-new-guinea-capitalize-blockchain-technology;Mar.19;;Ongoing;;
AgroWeb3;AgroWeb3 is a collaborative initiative between IFAD and the Inter-American Development Bank (IDB) Group, leveraging the LACChain blockchain infrastructure. The project aims to develop digital wallets tailored for smallholder farmers, enhancing financial inclusion and data sovereignty.;IFAD;Supply Chain;;;;;;SDG 9, 17;SDG 9.c, 17.7;Farmers;;;;High, as long as internet penetration and digital literacy allow users to use the tool;;Latin America & Caribbean;;;;;;;;;;;;;;
TRACE Blockchain;"TRACE Blockchain is blockchain-based solution ensuring full transparency and efficiency in agricultural funding flows. By leveraging Ethereum and Hyperledger Fabric, TRACE tracks funds from donors to end beneficiaries ensuring efficient allocation to farmers.
TRACE blockchain project, a collaboration between Scytalelabs and UN- IFAD International Fund for Agricultural Development (IFAD), has won the prestigious 2024 World Future Awards!";IFAD;Governance;https://scytalelabs.com/;ETH;Private blockchain;;;SDG 2, 9;SDG 2.3, 9.3;Farmers (pilot project in Kenya);Number of farmers benefiting from trace blockchain-tracked funds;Digital literacy, Competition with other fund transfer methods;;Scalable to other agencies that disclose funds in weak governance territories;;Global (pilot in Kenya);;;;;public-private partnership;;;;;19.Jul.22;;;;
Blockchain for Fiscal Transparency;Guinea-Bissau, a small nation on the coast of West Africa, has made a quantum leap into the future. In May 2024, the country successfully launched a blockchain platform—as part of the country’s program with the IMF, under the Extended Credit Facility (ECF)—designed to revolutionize its public wage bill management. Following four years collaborating with the Fund and technological advisor Ernst & Young, and with financial support from selected partners, Guinea-Bissau is moving ahead with implementing this new technology. This initiative, one of the first of its type for Africa, marks a significant leap toward better governance and transparency in government finances. It underscores the country’s commitment to tackling governance challenges and enhancing public service delivery.;IMF;"Fiscal Transparency

Using undelying tokenization and smart contract functionality to enable traceability of wage bill funds, validation of payment conditions for salaries and pensions, and alerts and notifications to relevant stakeholders.";Technology Vendor, Ernst and Young  LLP (EY);ERC 20 token type, but there is no issuance of a native token for end users;Private Blockchain;Primarily data protection for public sector government agencies in a fragile state;No;SDG 16 promoting effective and accountable institutions that develop benefits for everyone and tackles corruption. SDG 17 partnerships for goals, in this case on the use of technology and innovation to enhance institutions.;"1) Reduce wage bill to tax revenue ration ; 2) Reduce the ghost employees or unauthorized employees at the public administration; 3) Reduce the nominal wage bill to GDP ratio; 4) Reduce the payments in cash for salaries and pensions";"Ministry of Finances, Ministry of Public Administration

2000 in the initial pilot and 10000+ in the scaling-up.";The the digital platform is live at the Ministry of Finance and Public Administration, it could potentially track the information for all 26,600 public officials and 8,100 pensioners once the project is scaled-up in the next months.;Funding, capacity of public officials, data integrity, political economy, ownership;Ownership needs to be top down and bottom-up, countries needs electricity and  full access to internet to be able to implement this kind of platform;Potentially any country, as long as some digital infrastructure and data integrity are solid enough to run the platform efficiently;Wage bill to Tax Revenue Ratio has decreased from 84 percent in 2020 to 51 percent in 2024. The use of cash for salaries and pensions payments has decreased by 60 percent. The nominal wage bill to GDP has reduced from 6.5 percent of GDP in 2021 to 4.5 percent of GDP in 2024.;Guinea-Bissau;Execution;Blockchain solution is part of the larger fiscal transparency and digital government agenda for Guinea-Bissau under the IMF guidance.;USD 2 million for pilot project at the Ministries of Finance and Public Administration;UNDP, FRANCE, IMF,  Afritac West, AfDB (for scaling-up);Public-private partnership;IMF Governance Diagnostic Report, Different national strategies on anti-corruption, AML, and digitalization;Compliance with legal considerations to hire public officials in Guinea-Bissau;IMF Anticorruption Challenge: https://imfilab.brightidea.com/D394;Sensitive Reform, only information at imf.org: https://www.imf.org/en/News/Articles/2024/10/02/cf-guinea-bissau-is-using-blockchain-to-boost-fiscal-transparency;June 2020;Pilot finished in 2024. Scaling-up to start soon;Pending the official launch of the public procurement for the scaling-up to six more ministries (financed by AfdB) ;See AJ column;Ehereum testnet with planned pathway to Ethereum L2 in the future
ITCILO Digital Credentials Platform;The International Training Centre of the ILO (ITCILO) transitioned from paper-based certificates to digital credentials in 2020. These credentials are verifiable, shareable, and stored on the Ethereum blockchain, enhancing the authenticity and accessibility of learning achievements. ;International Training Centre of the ILO (ITCILO);Governance, Digital Identity;;None (hashes only);"Public verifiability; only ITCILO staff can write hashes";;;SDG 4, SDG 8;4.4.1, 8.5.1;Learners and professionals participating in ITCILO courses;"180,000 block-chain verifiable, open badges compliant digital credentials have been issued since 2020; improved verification processes

> 56 000 learners from 230+ ITCILO courses (2020-2025)";"Staff training; long-term badge governance";"Blockchain cuts fraud and postage cost; UX must hide crypto complexity";;"Number of credentials issued; user engagement metrics";Global;"Production since September 2020; continuous operation";;;Internal ITCILO resources;UN-private SaaS partnership (Accredible);ITCILO “Internal Circular on Digital Certification”, Aug 2019;"GDPR compliance; data hashed, not stored on-chain";"Internal guidelines report (May 2023)

ITCILO Digital Badges";https://www.itcilo.org/digital-credentials;Sep.20;Ongoing;Execution / scale-up;;
Call for DAO Applications to Support a UN IGF Dynamic Coalition;The UN IGF Dynamic Coalition on Blockchain Assurance & Standardization (DC-BAS) is soliciting proposals for production-ready DAO management platforms to support its governance, operations, and transparency. This follows a pilot DAO implementation in 2023 that did not meet coalition needs.;UN Internet Governance Forum (UN IGF);;;;;;;SDG 16, 17;;DC-BAS members and broader UN IGF stakeholder community;;"The 2023 DAO pilot failed to meet operational requirements; the coalition is now seeking a platform better aligned with its principles of transparency, decentralization, accountability, and permissionless access.";;Intended to support a global, multi-stakeholder coalition — scalability is implicit;;Global;"Currently in the discovery/submission phase; submissions due by March 1, 2025";;;;Call for collaboration through technology partnership and community participation;;;;https://gbaglobal.org/blog/2025/01/30/call-for-dao-applications-to-support-a-un-igf-dynamic-coalition/ ;;;;;
EARN Project;The EARN Project is an initiative by UN Women Europe and Central Asia aimed at empowering women artists through the exploration of Non-Fungible Tokens (NFTs). As the first NFT initiative launched by a United Nations entity, EARN seeks to raise awareness and educate women artists about the opportunities within the NFT market, thereby promoting economic empowerment and visibility in the digital art space.;UN Women;NFT collection;Third party;ETH;Public;;;SDG 5, 8;"SDG 5.b; 8.3";150 Women artists in Europe and Central Asia;Number of artists using NFTs, Financial volumes exchanged between artists;Digital literacy, Technology penetration;"Use of Blockhain to monetise art globally
Need for broader education on blockchain and digital assets";Global;Increase in global market access for local artists;Europe and Central Asia;"Closed; Possible continuation in broader context";Other;;;Public-private partnership;"National copyright legislation; national legislation on blockchain (partial)
";"Compliance with national legislation (part of lex specialis - securities law) on digital assets
";"Consultancy report EARN project
https://drive.google.com/file/d/1GtXk59XcFHgkbESH98PDefR213GApX6n/view?usp=sharing";https://www.instagram.com/nft.forwomen?igsh=MXgxYzlrdW84bmI1bw==;November 2022;"May/June 2023
";"Completed
";"Ethereum Mainnet
";
Blockchain Pilot Project for Cash Transfers in Refugee Camps ;A pilot project leveraging blockchain to transfer salaries to Syrian refugee women enrolled in UN Women’s cash-for-work programmes in Jordan’s Za’atari and Azraq refugee camps. Payments are accessed via iris scans at WFP-linked supermarkets.;UN Women (in partnership with WFP);Financial inclusion and digital payments;;;"Permissioned access; participation through enrolment in Oasis cash-for-work programme";;;SDG 1, 5, 8;SDG 1.2, 5.5, 8.5;"467 women directly during pilot (2019–2020); potential to scale to 2,500+ yearly participants in Oasis programmes
";"3,246 unique transactions; 100% satisfaction with disbursement in Azraq; 94% in Za’atari; 92% confirmed no cash shortfalls; 89% (Azraq) and 78% (Za’atari) found digital wallet better for financial management";Initial delays in knowing when funds were deposited, temporary lack of available cash at supermarkets, digital literacy gaps among women, COVID-19 lockdown affecting physical operations;"Flexibility in disbursement empowers beneficiaries, digital wallets support privacy, safety, and savings; IrisGuard system enhances financial control, blockchain enables continuity during emergencies like pandemics";Project expanded to all four Oasis centers as of June 2020, planned rollout to host communities and potential inter-agency blockchain coordination;Oxford University field reports and focus groups with 101 beneficiaries, weekly disbursement led to increased financial independence, use of digital data for trend analysis and program refinement;Jordan: Za’atari and Azraq refugee camps;;;;;;"Corporate-level MoU on innovation collaboration; in line with Grand Bargain commitments";privacy and data protection;;;2019 June;2024 December;Closed;;
Mongolia Sustainable Cashmere Platform;UNDP Mongolia Country Office set up a pilot initiative that tracks cashmere along the value chain on a blockchain-based platform (Mongolia Sustainable Cashmere Platform). It aims to enhance traceability and authenticity of the products and trust on the markets. ;UNDP;Supply Chain Management;;ETH;;;;;;;;;"""UNDP recommends a public
view, permissioned write structure for any
further development of the experiment""";;;;;;;;;;;;;;;;;
CedarCoin;Blockchain-based token system to promote reforestation and protect Lebanon's ancient cedar forests. Each token represents a planted tree, encouraging environmental engagement.;UNDP;Climate Action;;CedarCoin (CED);Public blockchain;;;SDG 13, SDG 15;15.1.1, 13.2.1;Lebanese communities, diaspora, NGOs;Trees planted, funds raised, user engagement;Transparency, participation, verification;Blockchain can engage diaspora and promote reforestation;High;Forest cover increase, reforestation traceability;Lebanon;"Initiation and planning phases completed; execution ongoing";;;"Contributions from Lebanese diaspora; partnerships with NGOs and private sector";Public-private;"Guided by UNDP policies; collaboration with Lebanese governmental bodies";;https://innovation.eurasia.undp.org/resource/cedarcoin-lite-paper/?utm_source;https://cedarcoinlb.com/?utm_source=chatgpt.com;2018;;Ongoing;;
Blockchain-Enabled Renewable Energy Solutions in Lebanon;This initiative explores the application of blockchain technology to enhance the adoption of renewable energy in Lebanon. It focuses on developing commercial-scale blockchain-based energy business models, including peer-to-peer energy trading, renewable energy certificates (RECs), and microgrid applications, tailored to Lebanon's specific context.;UNDP;Climate Action;;SI Tokens;Public blockchain;;;SDG 7, SDG 13;7.2.1, 13.2.1;Lebanese citizens, energy producers, communities;;;Blockchain supports energy transparency and access;High;;Lebanon;Execution;;;"Contributions from the Kingdom of the Netherlands; partnerships with NGOs and private sector";"Public-private partnerships; community-based collaborations";;;https://www.undp.org/sites/g/files/zskgke326/files/migration/lb/CEDRO-_-Blockchain-Report-25.11.2020_for-publication.pdf?utm_source;https://www.cedro-undp.org/publications/blockchain-enabled-solution-for-the-uptake-of-renewable-energy-in-lebanon?utm_source;2020;;Ongoing;;
Land Registry Enhancement using Blockchain;This initiative aimed to improve land registry systems through blockchain technology to prevent land disputes and enhance transparency in property transactions.;UNDP;Digital identity;;;;;;SDG 16;SDG 16.6;Local communities, property owners, and government.;Reduction in land disputes, improved transparency in property transactions.;Adoption of new technology by local authorities and citizens, integration with existing systems.;Importance of local government buy-in and trust-building with communities. ;High, as it could be replicated in other regions with similar land management issues.;;Panchkula, Haryana, India;Execution ;;;;Public-private partnership;;Data privacy laws, digital identity verification. ;https://www.undp.org/blog/using-blockchain-make-land-registry-more-reliable-india ;;2020;Finished (when?);Finished (wasn't extended after the pilot phase);;
Traceability for Sustainable Garment and Footwear (Cotton Blockchain);"This initiative aims to improve transparency and traceability in the industry to address labor rights, environmental impacts, and counterfeiting. Led by UNECE and UN/CEFACT, it focuses on creating global standards, policy recommendations, and capacity-building to foster sustainable practices. The initiative includes ""The Sustainability Pledge"" for stakeholders to commit to ethical and environmentally responsible actions.";UNECE;"Supply chain management

The pilots ran on a blockchain-based platform constructed with Ethereum testnets. This allowed for permissioned access, tailored to different value chain actors and managed by the UNECE governance framework. The infrastructure was powered by a hybrid open-source stack integrated with the Ethereum testnet environment.";;;;;;SDG 12;;;;;;;;Egypt, Italy, Switzerland, Germany;;Pilot project as part of XB project on enhancing transparency and traceabilit in garment and footwear supply chains;;EU;;;;https://unece.org/trade/documents/2023/11/session-documents/updated-report-blockchain-pilots-project-garment-and;https://unece.org/trade/traceability-sustainable-garment-and-footwear;2020;2023;completed;;
Blue Circle Marine Plastic Waste Management Platform;The project provides technical support, funding, and tools to help coastal fishermen and low-income residents collect marine waste. The collected plastic waste is transported to processing plants to be recycled into high-value products, with a portion of the revenue shared with the collectors. IoT and blockchain are used to trace the entire process, from collection and transportation to processing and manufacturing, with this data made available to consumers via QR codes for transparency.;UNEP;"Supply-chain traceability; Climate & Waste Management

The whole life cycle traceability of ocean plastic, including collection, transportation, storage, sorting, regeneration and product manufacturing process";Zhejiang Lanjing Tech (BlueCircle);Use JWT-based tokens to implement user authentication and authorization;Consortium Chain;Based on data protection and performance requirements, a consortium chain implementation scheme is adopted to ensure that data is only shared within the consortium and to improve consensus efficiency;No;SDG 14, SDG 12, SDG 1;14.1.1, 12.5.1, 1.2.2;"10240 boats, 6300 fishers/residents; 6 000 fishers receive low-interest loans.

280 recycling related enterprises";"2980 t plastic removed (2019-2024); ¥130 m (≈ US$18 m) low-interest loans issued; average extra income ¥1 200 (≈ US$166)  / month per collector";"Lack of uniform standard system in the ocean plastics market; maintaining data integrity across informal actors.";"Financial incentives + transparent data boost community uptake; blockchain builds buyer trust in recycled content.";High – official plan to expand to nine coastal provinces by 2025;"Tonnes collected; number of boats/users; loans disbursed; QR scans on final products.";Zhejiang Province coastline (pilot) → national expansion → global (Southeast Asia & other coastal areas);"Pilot 2019; province-wide rollout 2021-2024; national scale-up target 2025; global promotion 2030.";Attach to existing project;¥6000 m (≈ US$8.3 m);"Private enterprise investment (BlueCircle); Sale of recycled pellets; government environmental protection financial funds.";Diversified cooperative relationship with enterprises as the main body (investment implementation), community participation and government (policy guidance);"Overseen by China's Ministry of Ecology & Environment; UNEP Best-Practice guidance for plastics.";Complies with China’s Marine  Environmental Protection Law & 2020 Solid-Waste Amendment.;"UNEP Champions profile; People’s Daily feature; Veolia news release; USPTO patent 12229733 (“blockchain B/L for marine plastic”). ";https://www.unep.org/championsofearth/laureates/2023/blue-circle;2019 (platform launch);Ongoing;scale-up;Consortium Chain;Consortium Chain Solution Based on Open Source Ethereum Transformation
Climate Chain Coalition (CCC);CCC explores how blockchain technology – in combination with other emerging technologies - can improve transparency, traceability, and accountability in carbon markets, emissions reduction, and climate finance. It facilitates the creation of verifiable carbon credits, supports decentralized climate finance, and ensures the sustainability of projects through blockchain-based solutions. In addition to its Web3 focus, the CCC also facilitates multi-stakeholder collaboration towards the development of the data and digital innovation infrastructure – global and local digital public goods – for multistakeholder climate action empowerment;UNFCCC;;;Carbon Credits (such as tokenized carbon assets) are issued as digital tokens on blockchain, allowing transparent trading and verification of carbon reduction efforts.;;;;SDG 13, 17;SDG 13.2, 17.17;Governments, climate finance organizations, NGOs, companies investing in sustainable development, and communities affected by climate change. In particular, vulnerable populations in developing nations stand to benefit from improved climate adaptation funding.;Increased verification and transparency in carbon credit trading, reduction in transaction costs for carbon credits, enhanced access to climate finance for developing countries, the number of carbon credits issued and traded on the platform.;Ensuring blockchain solutions can handle large-scale emissions reductions and carbon trading at a global level, the lack of uniform regulatory frameworks for blockchain and carbon credit markets can hinder adoption, ensuring that different blockchain platforms can work together in a seamless manner, blockchain can be complex and may require significant technical expertise to implement and maintain.;;The integration of blockchain in carbon markets could revolutionize global emissions reduction efforts by increasing transparency, reducing fraud, and lowering transaction costs, making it easier to scale up climate financing.;"Reduction in carbon emissions from verified projects.
Increase in the volume of carbon credits traded via blockchain.
Amount of green finance mobilized through blockchain mechanisms.
";Global, with particular focus on regions in need of climate finance, such as developing countries in Africa, Asia, and Latin America.;;;;"Private sector partnerships (e.g., IBM, Stellar Foundation).
Public and government-backed climate funds (e.g., contributions from countries and multilateral climate finance organizations).
";Public-private partnership;Governed by the UNFCCC’s Paris Agreement and other international climate protocols.;;;https://www.climatechaincoalition.org/;2018;;;;
Stronger Together;"To commemorate the global population reaching 8 billion, UNFPA partnered with digital artist Cecilie Waagner Falkenstrøm to launch its first-ever NFT collection. The ""Stronger Together"" series comprises 800 AI-generated artworks, with proceeds supporting UNFPA's work in maternal health, sexual and reproductive health, and preventing gender-based violence.";UNFPA;NFT collection;;ETH;ETH Mainnet;;;SDG 5;SDG 5.6;NFT collectors;Financial volumes exchanged, Number of NFT holders;;;Limited (limited number of NFTs, declining trend over the time).;;Global;;;;;Public-private partnership;;;;https://opensea.io/collection/8billion;;;;;
Grassroots Economics;Emergency response platform for stakeholders to access digital payments;UNICEF;"Financial Inclusion and Digital Payments

Community currency issuance and tracking, smart contract-based voucher systems, decentralized transaction records, custodial and non-custodial wallet infrastructure, and impact data indexing from blockchain.";Grassroots Economics;Sarafu token;Public blockchain with custodial and non-custodial wallet access;;Unknown;1,8;"Indicator 1.4.1 (Access to financial services); Indicator 8.10.2 (Number of adults with account at financial institution or mobile-money-service provider)";Low-income and vulnerable communities, ~60,000 users reached;"Over $3 million in trades; USSD wallet adoption; test coverage >80% for key modules";"Complex integration of USSD with blockchain; fragmented repositories; loss of key team member";"Onboarding must be clear; avoid token airdrops without utility; prioritize user-owned vouchers over volatile crypto";Yes - proven in Kenya, expanding to Cameroon with Red Cross, scalable through USSD and modular backend;"High USSD adoption; large user base; measurable trade volume ($3M); successful migration to mono-repo architecture";Country and regional (Kenya, Cameroon);"Seed stage design and prototyping 2021-2022; pilot deployment 2020-2022";Built for blockchain;ETH 25,11 (= $64 979,71 contrat value at time of disbursement);UNICEF Venture Fund and possibly other sources (e.g., WFP partnership);Public-private and research collaborations;"UNICEF Venture Fund compliance requirements; open source governance; GPL3 license on all repos; internal and public contribution guidelines";"Data protection policy in place; risks of crypto volatility; private key loss implications noted";https://www.grassrootseconomics.org/theme/pdfs/sarafu-network.pdf;https://www.unicefventurefund.org/portfolio/grassroots-economics-integrating-emergency-response-platform-stakeholders-access-digital, https://www.grassrootseconomics.org/about;May 2021;Ongoing;Graduate from Venture Fund investment, no further engagement with the Fund;Celo (EVM-compatible Layer-2 in Ethereum ecosystem);
eSusFarm Uganda;Blockchain platform to improve access of smallholder farmers to insurance during climate disasters;UNICEF;"Climate Action, Financial Inclusion and Digital Payments

Crop insurance, transaction logging, marketplace services, anticipatory action";eSusFarm in partnership with Etherisc and Ethereum Foundation;;(Inferred, based on Ethereum) Public blockchain;;Yes;SDG 2 - Zero Hunger, SDG 13 - Climate Action;Indicator 2.4.1 - sustainable agriculture, Indicator 13.1.1 - disaster risk reduction strategies;Smallholder farmers in Uganda;Number of farmers insured, claims processed, AI tool usage, market access improvement;Low trust in insurance, affordability, limited awareness and data connectivity;"Bundled services enhance adoption; accessibility via SMS increases rural reach";Strong, having already tested its blockchain-based crop insurance solution in Kenya, where 20,000 farmers were insured and 6,000 payouts processed. The platform is now being tailored for Uganda with upcoming pilots, and has secured strategic agreements in Liberia and Zimbabwe. However, unlocking full scalability will require improved on-ground capacity for farmer onboarding, deeper collaboration with insurance regulators, and expanded data infras to support localized weather indexing and AI-driven decision tools.;Farmer uptake, payout delivery, productivity gains, and coverage expansion;Uganda (with partnerships in Kenya, Liberia, Zimbabwe);Seed stage investment and protoyping with Venture Fund 2023-2024, with pilot in Uganda scheduled for spring 2025;Built for blockchain;$100,000 (UNICEF);UNICEF ($100K), Microsoft Azure credits ($150K), Expo Live Dubai ($75K);Public-private partnerships, accelerator-driven collaboration;Internal governance aligned with responsible blockchain practices;Data protection compliance and insurance sector regulations in each country;Available upon request from UNICEF Venture Fund;https://www.unicefventurefund.org/portfolio/esus-farm, https://esusfarm.africa/;September 2023;October 2024;Active/Ongoing;Ethereum Mainnet;
DPG Marketplace;An innovative fundraising mechanism to fund the development and deployment of DPGs;UNICEF;"Digital public infrastructure / Impact financing

Integrations with Web3 based public goods fundraising mechanisms";-;-;Prototype might be gated, eventually open access to any funder or DPG;;Will soon be;"SDG 9 - Industry, Innovation, and Infrastructure; SDG 10 - Reduced Inequalities";;;$ raised, # of DPGs onboarded, # of solution seekers onboarded;Under development;;;;Global (but piloted in Sierra Leone);;;;;;-;-;;;;;Ongoing;EVM Compatible;
AidLink;Open source toolkit for implementing digital asset transfers in aid value chains (scope limited by offramping partner jurisdiction);UNICEF;"Financial Inclusion and Digital Payments

SMS wallet, beneficiary management module, Payment module, offramping integration, reporting";Rumsan, XCapit, KotaniPay;-;Eventually, tech stack will be open for anyone to customise;;Will soon be;SDG 1 – No Poverty;;;$ transferred, # of beneficiaries onboarded, # of transactions conducted;Under development;;;;global;;;;;;;;;;;;Ongoing;EVM Compatible;
